Bounding box: [[0.884765625, 0.009765625], [0.994140625, 0.009765625], [0.994140625, 0.044921875], [0.884765625, 0.044921875]], Text: uan
Bounding box: [[0.845703125, 0.078125], [0.982421875, 0.078125], [0.982421875, 0.12890625], [0.845703125, 0.12890625]], Text: 1.4.1
Bounding box: [[0.845703125, 0.232421875], [0.98046875, 0.232421875], [0.98046875, 0.283203125], [0.845703125, 0.283203125]], Text: 1.4.2
Bounding box: [[0.841796875, 0.310546875], [0.982421875, 0.306640625], [0.984375, 0.36328125], [0.84375, 0.3671875]], Text: 1.4.3
Bounding box: [[0.845703125, 0.392578125], [0.98828125, 0.392578125], [0.98828125, 0.443359375], [0.845703125, 0.443359375]], Text: 1.4.4
Bounding box: [[0.84375, 0.466796875], [0.984375, 0.466796875], [0.984375, 0.5234375], [0.84375, 0.5234375]], Text: 1.4.5
Bounding box: [[0.703125, 0.55078125], [0.78515625, 0.55078125], [0.78515625, 0.59765625], [0.703125, 0.59765625]], Text: 1.5
Bounding box: [[0.841796875, 0.548828125], [0.998046875, 0.548828125], [0.998046875, 0.603515625], [0.841796875, 0.603515625]], Text: Quan
Bounding box: [[0.84375, 0.623046875], [0.984375, 0.623046875], [0.984375, 0.6796875], [0.84375, 0.6796875]], Text: 1.5.1
Bounding box: [[0.841796875, 0.703125], [0.984375, 0.69921875], [0.986328125, 0.7578125], [0.84375, 0.76171875]], Text: 1.5.2
Bounding box: [[0.845703125, 0.783203125], [0.982421875, 0.783203125], [0.982421875, 0.833984375], [0.845703125, 0.833984375]], Text: 1.5.3
Bounding box: [[0.703125, 0.865234375], [0.78515625, 0.865234375], [0.78515625, 0.912109375], [0.703125, 0.912109375]], Text: 1.6
Bounding box: [[0.845703125, 0.865234375], [0.998046875, 0.865234375], [0.998046875, 0.9140625], [0.845703125, 0.9140625]], Text: Quan
Bounding box: [[0.705078125, 0.947265625], [0.7734375, 0.947265625], [0.7734375, 0.984375], [0.705078125, 0.984375]], Text: 1.7
Bounding box: [[0.841796875, 0.9375], [0.998046875, 0.94140625], [0.99609375, 0.990234375], [0.83984375, 0.986328125]], Text: Struc
