Bounding box: [[0.0078125, 0.0859375], [0.677734375, 0.0859375], [0.677734375, 0.130859375], [0.0078125, 0.130859375]], Text: ition Against a Quan
Bounding box: [[0.716796875, 0.154296875], [0.79296875, 0.154296875], [0.79296875, 0.2109375], [0.716796875, 0.2109375]], Text: 35
Bounding box: [[0.005859375, 0.2421875], [0.62890625, 0.2421875], [0.62890625, 0.2890625], [0.005859375, 0.2890625]], Text: st Existing Technology
Bounding box: [[0.72265625, 0.232421875], [0.794921875, 0.232421875], [0.794921875, 0.2890625], [0.72265625, 0.2890625]], Text: 36
Bounding box: [[0.0, 0.3125], [0.177734375, 0.31640625], [0.17578125, 0.37109375], [0.0, 0.3671875]], Text: e Key?
Bounding box: [[0.724609375, 0.310546875], [0.794921875, 0.310546875], [0.794921875, 0.3671875], [0.724609375, 0.3671875]], Text: 40
Bounding box: [[0.72265625, 0.390625], [0.796875, 0.390625], [0.796875, 0.447265625], [0.72265625, 0.447265625]], Text: 40
Bounding box: [[0.0078125, 0.482421875], [0.078125, 0.482421875], [0.078125, 0.51953125], [0.0078125, 0.51953125]], Text: itv
Bounding box: [[0.72265625, 0.46875], [0.796875, 0.46875], [0.796875, 0.525390625], [0.72265625, 0.525390625]], Text: 42
Bounding box: [[0.724609375, 0.546875], [0.794921875, 0.546875], [0.794921875, 0.60546875], [0.724609375, 0.60546875]], Text: 42
Bounding box: [[0.716796875, 0.685546875], [0.796875, 0.685546875], [0.796875, 0.7421875], [0.716796875, 0.7421875]], Text: 44
Bounding box: [[0.72265625, 0.765625], [0.796875, 0.765625], [0.796875, 0.82421875], [0.72265625, 0.82421875]], Text: 46
Bounding box: [[0.72265625, 0.83984375], [0.794921875, 0.84375], [0.79296875, 0.904296875], [0.720703125, 0.900390625]], Text: 50
Bounding box: [[0.005859375, 0.927734375], [0.671875, 0.931640625], [0.671875, 0.98046875], [0.005859375, 0.9765625]], Text: Fully Overlapping States
Bounding box: [[0.72265625, 0.923828125], [0.796875, 0.923828125], [0.796875, 0.98046875], [0.72265625, 0.98046875]], Text: 53
