Bounding box: [[0.841796875, 0.0], [0.9765625, 0.0], [0.9765625, 0.0390625], [0.841796875, 0.0390625]], Text: sible
Bounding box: [[0.701171875, 0.06640625], [0.78515625, 0.06640625], [0.78515625, 0.119140625], [0.701171875, 0.119140625]], Text: 4.2
Bounding box: [[0.849609375, 0.06640625], [0.998046875, 0.0703125], [0.99609375, 0.1171875], [0.84765625, 0.11328125]], Text: Boun
Bounding box: [[0.701171875, 0.142578125], [0.78515625, 0.142578125], [0.78515625, 0.197265625], [0.701171875, 0.197265625]], Text: 4.3
Bounding box: [[0.841796875, 0.14453125], [0.998046875, 0.1484375], [0.998046875, 0.197265625], [0.83984375, 0.193359375]], Text: Secur
Bounding box: [[0.703125, 0.2265625], [0.78515625, 0.2265625], [0.78515625, 0.2734375], [0.703125, 0.2734375]], Text: 4.4
Bounding box: [[0.841796875, 0.2265625], [0.998046875, 0.2265625], [0.998046875, 0.2734375], [0.841796875, 0.2734375]], Text: Secur
Bounding box: [[0.697265625, 0.3046875], [0.783203125, 0.298828125], [0.78515625, 0.3515625], [0.701171875, 0.357421875]], Text: 4.5
Bounding box: [[0.841796875, 0.298828125], [0.998046875, 0.3046875], [0.998046875, 0.35546875], [0.83984375, 0.349609375]], Text: Secur
Bounding box: [[0.6953125, 0.44921875], [0.994140625, 0.44921875], [0.994140625, 0.490234375], [0.6953125, 0.490234375]], Text: Quantum
Bounding box: [[0.703125, 0.521484375], [0.998046875, 0.521484375], [0.998046875, 0.57421875], [0.703125, 0.57421875]], Text: 5.1A Tir
Bounding box: [[0.705078125, 0.60546875], [0.787109375, 0.60546875], [0.787109375, 0.650390625], [0.705078125, 0.650390625]], Text: 5.2
Bounding box: [[0.8359375, 0.599609375], [0.998046875, 0.603515625], [0.998046875, 0.654296875], [0.833984375, 0.650390625]], Text: A Qu
Bounding box: [[0.70703125, 0.6875], [0.779296875, 0.6875], [0.779296875, 0.724609375], [0.70703125, 0.724609375]], Text: 0.3
Bounding box: [[0.837890625, 0.6796875], [0.998046875, 0.6796875], [0.998046875, 0.7265625], [0.837890625, 0.7265625]], Text: Imple
Bounding box: [[0.705078125, 0.76171875], [0.783203125, 0.76171875], [0.783203125, 0.806640625], [0.705078125, 0.806640625]], Text: 5.4
Bounding box: [[0.84765625, 0.7578125], [0.998046875, 0.7578125], [0.998046875, 0.806640625], [0.84765625, 0.806640625]], Text: Worlc
Bounding box: [[0.703125, 0.83984375], [0.783203125, 0.83984375], [0.783203125, 0.88671875], [0.703125, 0.88671875]], Text: 5.5
Bounding box: [[0.841796875, 0.837890625], [0.998046875, 0.837890625], [0.998046875, 0.884765625], [0.841796875, 0.884765625]], Text: Sumn
