Bounding box: [[0.697265625, 0.052734375], [0.83203125, 0.056640625], [0.830078125, 0.111328125], [0.6953125, 0.107421875]], Text: tion
Bounding box: [[0.69921875, 0.1328125], [0.845703125, 0.1328125], [0.845703125, 0.189453125], [0.69921875, 0.189453125]], Text: 5.1
Bounding box: [[0.8359375, 0.138671875], [0.998046875, 0.138671875], [0.998046875, 0.1875], [0.8359375, 0.1875]], Text: Quan
Bounding box: [[0.849609375, 0.212890625], [0.990234375, 0.212890625], [0.990234375, 0.263671875], [0.849609375, 0.263671875]], Text: 6.1.1
Bounding box: [[0.845703125, 0.287109375], [0.98828125, 0.287109375], [0.98828125, 0.345703125], [0.845703125, 0.345703125]], Text: 6.1.2
Bounding box: [[0.845703125, 0.4453125], [0.98828125, 0.4453125], [0.98828125, 0.50390625], [0.845703125, 0.50390625]], Text: 6.1.3
Bounding box: [[0.705078125, 0.53125], [0.78515625, 0.53125], [0.78515625, 0.57421875], [0.705078125, 0.57421875]], Text: 6.2
Bounding box: [[0.8359375, 0.525390625], [0.998046875, 0.525390625], [0.998046875, 0.580078125], [0.8359375, 0.580078125]], Text: Quan
Bounding box: [[0.705078125, 0.609375], [0.7890625, 0.609375], [0.7890625, 0.654296875], [0.705078125, 0.654296875]], Text: 6.3
Bounding box: [[0.8359375, 0.60546875], [0.998046875, 0.60546875], [0.998046875, 0.66015625], [0.8359375, 0.66015625]], Text: Quan
Bounding box: [[0.609375, 0.748046875], [0.994140625, 0.748046875], [0.994140625, 0.794921875], [0.609375, 0.794921875]], Text: 7 Conclusic
Bounding box: [[0.603515625, 0.88671875], [0.9921875, 0.892578125], [0.9921875, 0.94140625], [0.603515625, 0.935546875]], Text: Bibliography
